file_stem,bronze_chars,after_fp_chars,after_bp_chars,bp_pct_removed,sections_stripped,stripped_headers,total_issues,content_preservation,strip_completeness,structural_coherence,metadata_accuracy,findings_detail
202611_ISEN_616_700_39910,17614,17578,5269,70.1,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",7,0,0,4,3,"[struc] Inconsistent heading levels for course topics: Topics 4 and 5 are H1, Topics 6-8 are H2, and Topics 1-3 are H3. | [struc] Course topics are listed out of numerical order (topics 4-8 appear before topics 1-3). | [struc] Redundant header '### Course Schedule' appears within the main '## Course Schedule' section. | [struc] The '## Course Contents/Topics' header is at the same level as '## Course Schedule', suggesting a structural issue where it should be a sub-section or merged. | [metad] Meeting Days field is empty. | [metad] Start Time field is 'N/A'. | [metad] End Time field is 'N/A'."
202611_ISEN_617_600_38490,14459,14411,3072,78.8,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,"[struc] The 'Course Outline' under 'Course Schedule' is not formatted as a table, and the sub-header '### Course Outline:' is repeated mid-list, breaking the flow of topics and chapters."
202611_ISEN_617_700_48204,14490,14442,3103,78.6,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,"[struc] The header 'Course Outline:' is duplicated within the 'Course Schedule' section. | [struc] The 'Course Schedule' content, intended to be a two-column table (Topic, Chapter(s)), is presented as a flat list, indicating a broken table structure."
202611_ISEN_620_600_59274,16033,15981,4648,71.0,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,2,0,[struc] The 'Grade Decomposition' section contains data that appears to be a table but is not formatted as a markdown table. | [struc] The 'Letter Grade Cutoffs' section contains data that appears to be a table but is not formatted as a markdown table.
202611_ISEN_625_600_55586,21204,21130,9690,54.3,16,"College of Engineering; Industrial and Systems Engineering; Technology Support; Technology Services (IT) - Main Campus; Canvas LMS Technical Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The 'Course Schedule' section is formatted as plain text with spaces, not a proper markdown table, making its structure ambiguous and difficult to parse. | [struc] The heading '# 1. Local Installation' is an orphaned H1 header, breaking the document's heading hierarchy by appearing after an H2 header ('## Additional Course Information'). | [struc] The heading '## 2. Remote Server' is an H2 header that appears to be a sub-section of the orphaned H1 header, further indicating a broken heading hierarchy."
202611_ISEN_631_600_59189,24742,24672,12767,48.4,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",9,1,0,8,0,"[conte] The `## Re-grading Policy` section is less detailed than the `### Re-grading Policy :` section found later in the document, suggesting content was lost or is inconsistent between the two. | [struc] The text ""Credit Hours: 3"" appears twice consecutively under the ""Course Information"" section. | [struc] Under the ""Reading Responses"" section, the sub-points ""A. An insightful question..."", ""B. A comment..."", and ""1. Summary of the reading..."" are incorrectly formatted as H1 and H2 headings (`# A.`, `## B.`, `# 1.`) instead of being bullet points or lower-level headings. | [struc] The ""Discussion Board"" section is an H2 (`## Discussion Board:`), but it logically belongs as an H3 under ""Grading Policy"". | [struc] The ""Exams"" section is an H2 (`## Exams`), but it logically belongs as an H3 under ""Grading Policy"". | [struc] The ""Semester Project"" section is an H2 (`## Semester Project :`), but it logically belongs as an H3 under ""Grading Policy"". | [struc] There are two ""Re-grading Policy"" sections: one as `## Re-grading Policy` and another as `### Re-grading Policy :` under ""Additional Course Information"". These should be consolidated into a single, consistent section. | [struc] There are two ""Late Work Policy"" sections: `## Late Work Policy` and `## Course Specific Late Work Policy`. These should be combined or nested to form a single, coherent policy. | [struc] The header `### Schedule of Topics` immediately follows the text `Schedule of Topics` under `## Course Schedule`, creating a redundant heading."
202611_ISEN_631_700_60220,24742,24672,12767,48.4,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",6,0,0,6,0,"[struc] The entry 'Credit Hours: 3' is duplicated under the 'Course Information' section. | [struc] The items 'A. An insightful question...', 'B. A comment...', and '1. Summary of the reading...' within the 'Reading Responses' section are incorrectly formatted as top-level or second-level headings (H1/H2) instead of list items or lower-level subheadings. | [struc] Heading levels are inconsistent: 'Reading Responses:' is an H3 heading, while 'Discussion Board:', 'Exams', 'Semester Project :', 'Re-grading Policy', 'Late Work Policy', and 'Course Specific Late Work Policy' are H2 headings, despite all appearing as sub-sections of 'Grading Policy'. They should all be at the same hierarchical level (e.g., H3). | [struc] The plain text 'Schedule of Topics' appears redundantly directly above the '### Schedule of Topics' header. | [struc] The 'Course Schedule' content is not formatted as a table, making the weekly breakdown difficult to read and parse. | [struc] The entire 'Re-grading Policy' section is duplicated, appearing once under 'Grading Policy' and again under 'Additional Course Information'."
202611_ISEN_632_600_59850,30484,30325,16874,44.6,14,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA)",6,1,0,4,1,"[conte] URL for 'Space Safety and Human Performance' is missing. | [struc] The text 'Biography' is incorrectly appended to the 'Webpage' header, instead of being its own heading. | [struc] Redundant header 'Grading Policy' immediately following the main 'Grading Policy' header. | [struc] A resource URL (https://research.ebsco.com/c/ybus2u/...) is incorrectly placed under the 'Lecture Activities' section within 'Grading Policy'. | [struc] The 'Detailed course schedule' table has a repeated header row 'Date | Lecture | Subject | Assignments' mid-table, indicating a broken table structure. | [metad] URL for 'Human Factors in Aviation and Aerospace' contains a space, making it malformed."
202611_ISEN_632_700_59783,32240,32099,18671,42.1,14,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA)",4,1,0,2,1,"[conte] Appendix A, which is referenced in the 'Course Schedule' section for a detailed course schedule, is missing. | [struc] Header 'Webpage: https://safe.engr.tamu.edu Biography' is malformed; 'Webpage' and 'Biography' should be separate fields or sections. | [struc] Redundant header '### Grading Policy' directly under '## Grading Policy'. | [metad] Meeting Days is missing under 'Course Information'."
202611_ISEN_637_600_59851,14395,14373,2943,79.6,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,0,0,1,1,"[struc] The 'Course Schedule' section uses level 3 headers ('###') for 'Week Topic' and each individual week's entry, instead of a list or table format, making it structurally incoherent. | [metad] The 'Biography' field under 'Instructor Details' contains a URL ('agarcia.engr.tamu.edu') instead of a biographical description."
202611_ISEN_641_600_59191,21745,21688,21682,0.3,2,College of Engineering; Industrial and Systems Engineering,22,1,11,10,0,"[conte] Course Schedule table content is missing or malformed for weeks 5-14, with 'See Lecture Slides' appearing without corresponding week/topic, and table rows incorrectly converted to headers. | [strip] Section 'University Policies' is boilerplate and should be removed. | [strip] Section 'Academic Integrity Statement and Policy' is boilerplate and should be removed. | [strip] Section 'University Attendance Policy' is boilerplate and should be removed. | [strip] Section 'Makeup Work Policy' is boilerplate and should be removed. | [strip] Section 'Notice of Nondiscrimination' is boilerplate and should be removed. | [strip] Section 'Civil Rights, Free Speech, and Title IX Policies' is boilerplate and should be removed. | [strip] Section 'Americans with Disabilities Act (ADA) Policy' is boilerplate and should be removed. | [strip] Section 'Pregnancy Accommodations' is boilerplate and should be removed. | [strip] Section 'Statement on Mental Health and Wellness' is boilerplate and should be removed. | [strip] Section 'Statement on the Family Educational Rights and Privacy Act (FERPA)' is boilerplate and should be removed. | [strip] Section 'Free Speech and Civil Discourse' is boilerplate and should be removed. | [struc] Orphaned text 'course details' found under 'Additional Course Details' header. | [struc] Inconsistent heading levels in 'Course Learning Outcomes': '2. for structuring the approach to systems development' is `#` level, should be `###`. | [struc] Inconsistent heading levels in 'Course Learning Outcomes': '3. Familiarization with basic architecting and analysis methods:' is `##` level, should be `###`. | [struc] Inconsistent heading levels in 'Course Learning Outcomes': sub-items 'a.' through 'h.' under '3.' are `##` or `#` level, should be `####`. | [struc] Inconsistent heading levels in 'Course Learning Outcomes': '4. Familiarization with documentation for system development life cycle artifacts' is `#` level, should be `###`. | [struc] Orphaned text 'Grading policy grading policy' found under 'Grading Policy' header. | [struc] Duplicate header '#### Grading Scale' found under 'Grading Policy'. | [struc] Orphaned text 'Topical outline schedule continuation' found under 'Course Schedule' header. | [struc] Course Schedule table is broken: table rows for weeks 5-14 are incorrectly rendered as headers with inconsistent levels (e.g., '### 5 Information Architecture Practice', '## 13 Ontology Architecture History, Theory, Method & Practice', '# 14 Factor Trees, Causal Loops & Systems Dynamics Simulation'). | [struc] Orphaned text 'See Lecture Slides' at the very end of the document, likely from a broken table."
202611_ISEN_641_701_39206,21737,21680,21674,0.3,2,College of Engineering; Industrial and Systems Engineering,22,1,11,9,1,"[conte] Course Schedule table has a block of 'See Lecture Slides' without corresponding week/topic, indicating missing content or malformed data. | [strip] Section 'University Policies' is boilerplate and should be removed. | [strip] Section 'Academic Integrity Statement and Policy' is boilerplate and should be removed. | [strip] Section 'University Attendance Policy' is boilerplate and should be removed. | [strip] Section 'Makeup Work Policy' is boilerplate and should be removed. | [strip] Section 'Notice of Nondiscrimination' is boilerplate and should be removed. | [strip] Section 'Civil Rights, Free Speech, and Title IX Policies' is boilerplate and should be removed. | [strip] Section 'Americans with Disabilities Act (ADA) Policy' is boilerplate and should be removed. | [strip] Section 'Pregnancy Accommodations' is boilerplate and should be removed. | [strip] Section 'Statement on Mental Health and Wellness' is boilerplate and should be removed. | [strip] Section 'Statement on the Family Educational Rights and Privacy Act (FERPA)' is boilerplate and should be removed. | [strip] Section 'Free Speech and Civil Discourse' is boilerplate and should be removed. | [struc] The 'Meeting Days:' field under 'Course Information' is present but has no value. | [struc] The text 'course details' under 'Additional Course Details' appears to be a placeholder or artifact. | [struc] In 'Course Learning Outcomes', heading levels are inconsistent and text is malformed: '# 2. for structuring the approach to systems development' should be a sub-point of 'Mastery of 'framework' of methods' and at a lower heading level. | [struc] In 'Course Learning Outcomes', heading levels are inconsistent: '## 3. Familiarization with basic architecting and analysis methods:' should be H3, and its sub-points (e.g., '## a. Symptom collection and diagnosis') should be H4 or list items. | [struc] In 'Course Learning Outcomes', heading levels are inconsistent: '# h. Simulation based architecture evaluation and performance assessment' should be H4 or a list item. | [struc] In 'Course Learning Outcomes', heading levels are inconsistent: '# 4. Familiarization with documentation for system development life cycle artifacts' should be H3. | [struc] The text 'Grading policy grading policy' under 'Grading Policy' is redundant. | [struc] The header '#### Grading Scale' is duplicated under 'Grading Policy'. | [struc] The 'Course Schedule' section is malformed: content that should be table rows (e.g., '5 Information Architecture Practice', '7 Mid Term Take Home Exam Distributed to Students', '14 Factor Trees, Causal Loops & Systems Dynamics Simulation') are incorrectly formatted as headers of various levels (H1, H2, H3). | [metad] Meeting Days field is missing a value."
202611_ISEN_665_600_59566,24446,24384,12879,47.3,12,College of Engineering; Industrial and Systems Engineering; Technology support; AI Statement; Technology Support; Technology Services (IT) - Main Campus; Canvas LMS Technical Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination,5,1,0,4,0,"[conte] A detailed course schedule (e.g., weekly topics, readings, assignments, or key dates) is missing from the 'Course Schedule' section. | [struc] Learning outcomes (1-9) are incorrectly formatted as top-level headers ('#') instead of numbered list items or sub-headers. | [struc] The line '2MAY . Grades for graduating students are due by 6MAY.' appears orphaned and lacks proper context or a clear heading. | [struc] The heading '## Leveraging AI technology as a resource' is a level 2 heading directly under another level 2 heading ('## Additional Course Information'), indicating an inconsistent heading hierarchy. It should likely be a level 3 heading (###). | [struc] The numbered steps (1-6) under 'Leveraging AI technology as a resource' are incorrectly formatted as level 3 headers ('###') instead of numbered list items."
202611_ISEN_665_700_59602,24629,24567,13062,47.0,12,College of Engineering; Industrial and Systems Engineering; Technology support; AI Statement; Technology Support; Technology Services (IT) - Main Campus; Canvas LMS Technical Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination,1,1,0,0,0,"[conte] Detailed weekly course schedule (topics, readings, assignments per week) is missing from the 'Course Schedule' section."
202611_ISEN_681_600_15399,13002,12984,1647,87.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",2,1,0,1,0,"[conte] The detailed weekly course schedule, including speaker assignments mentioned in the 'Course Schedule' section, is missing. | [struc] The 'Textbook and/or Resource Materials' section contains contradictory information: 'This material Is: Required No materials are required.'"
202611_ISEN_684_653_22306,12770,12748,1314,89.7,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,1,0,2,0,[conte] The actual learning outcomes are missing from the 'Course Learning Outcomes' section. | [struc] The 'Credit Hours' field is duplicated under 'Course Information'. | [struc] The 'Textbook and/or Resource Materials' section contains redundant statements ('This material Is: No required textbook' and 'No textbook needed').
202611_ISEN_691_609_18200,15860,15829,4558,71.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The items under '### Expected Outcomes/Deliverables' are incorrectly formatted as level 1 headers ('# 1.', '# 2.', '# 3.') instead of list items or lower-level headers. | [struc] The sections '## Grading Appeals:' and '## Late Work Policy' are incorrectly formatted as level 2 headers, creating an improper hierarchy within the '## Grading Policy' section. They should be level 3 headers (e.g., '### Grading Appeals:'). | [struc] The 'schedule of topics' under '### schedule of topics' is presented as plain text and not formatted as a markdown table, making its structure ambiguous."
202611_ISEN_691_612_37203,12696,12674,1337,89.5,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",6,1,0,5,0,[conte] Course Learning Outcomes list is missing after the introductory sentence | [struc] Credit Hours information is duplicated under 'Course Information' | [struc] Redundant phrases 'No required textbook' and 'No Textbook Needed.' appear consecutively under 'Textbook and/or Resource Materials' | [struc] Vague sentence 'Description of items in the grading.' appears before the actual grading policy details | [struc] Duplicate '### Grading Policy' sub-headers | [struc] Grading components list uses double hyphens ('- -') instead of single hyphens for list items
202611_ISEN_691_633_49068,15860,15829,4558,71.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] Duplicate header '### Grading Policy' immediately follows '## Grading Policy'. | [struc] Deliverables listed under 'Expected Outcomes/Deliverables' are formatted as H1 headings ('# 1. Midterm deliverable', '# 2. Final Deliverable', '# 3. Attend weekly meetings') instead of list items. | [struc] The 'schedule of topics' under 'Course Schedule' is presented as two columns (Week, Tasks) but is not formatted as a markdown table."
202641_ISEN_609_600_54141,17554,17451,4406,74.9,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",1,0,0,1,0,[struc] The textbook entry for 'A First Course in Probability' is misplaced; it appears between the 'Course Specific Late Work Policy' and 'Course Schedule' sections instead of under 'Textbook and/or Resource Materials'.
202641_ISEN_613_601_34731,14745,14697,3358,77.2,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,1,0,2,0,"[conte] Content for Week 15 (Topics and Required Reading) in the Course Schedule is missing. | [struc] Duplicate header: '### Course Schedule' immediately follows '## Course Schedule'. | [struc] The Course Schedule is split into two sections, with the headers 'Week Topics Required Reading' repeated, indicating a broken table structure."
202641_ISEN_613_700_66404,14739,14691,3352,77.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,1,0,2,1,"[conte] Course Schedule table appears incomplete, ending abruptly at Week 15 with no content, and likely missing content for subsequent weeks/final exams. | [struc] Duplicate header '### Course Schedule' immediately following '## Course Schedule'. | [struc] Course Schedule table header 'Week Topics Required Reading' is repeated after Week 10, breaking the table structure. | [metad] Meeting Days field is missing a value."
202641_ISEN_614_600_65054,17200,17169,5656,67.1,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,0,0,3,1,"[struc] Orphaned header `# 3. Knowledge on hypothesis test and linear regression (STAT212, ISEN 350, or equivalent).` under 'Course Prerequisites' is incorrectly formatted as a top-level header and appears to be an incomplete list item. | [struc] The sections 'Late Work Policy' and 'Course Specific Late Work Policy' are identical and immediately follow each other, indicating redundancy. | [struc] The 'Weekly Schedule' under 'Course Schedule' is presented as plain text with two columns ('Weeks' and 'Topic') but is not formatted as a markdown table, hindering programmatic parsing. | [metad] Instructor name is missing."
202641_ISEN_614_700_66484,16825,16773,5254,68.8,15,"College of Engineering; Industrial and Systems Engineering; AI Statement; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",7,3,0,3,1,"[conte] The sentence 'Basically, following knowledge is necessary' in 'Course Prerequisites' is incomplete, suggesting missing content. | [conte] Items 1 and 2 of the prerequisite knowledge list are missing, as the list starts with '3. Knowledge on hypothesis test...' | [conte] The specific week or date for 'Project Due' is missing from the 'Course Schedule' table. | [struc] The list of prerequisite knowledge under 'Course Prerequisites' is malformed, starting with item '3' without items '1' or '2'. | [struc] The grading breakdown and grading scale under 'Grading Policy' are presented as run-on sentences instead of a structured list or table. | [struc] The line 'Weeks Topic Project Due' under 'Course Schedule' is an orphaned header, indicating a malformed or incomplete table structure. | [metad] The 'Meeting Days' field under 'Course Information' is missing its value."
202641_ISEN_615_600_34728,14883,14847,3552,76.1,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",4,0,0,4,0,"[struc] The 'Credit Hours: 3' entry is duplicated under the 'Course Information' section. | [struc] The 'Textbook and/or Resource Materials' section is empty. | [struc] Textbook information (title, ISBN, authors, publisher, publication date, edition) is incorrectly placed within the 'Course Schedule' section. | [struc] Under 'Grading Policy', the exam details ('1. The first three exams...', '2. At the end of the course...', '3. The lowest exam grade...') are formatted as markdown heading levels (H1) instead of list items."
202641_ISEN_615_700_48504,14883,14847,3552,76.1,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The 'Credit Hours: 3' entry is duplicated under the 'Course Information' section. | [struc] The content for 'Textbook and/or Resource Materials' is misplaced within the 'Course Schedule' section, while its header '## Textbook and/or Resource Materials' is orphaned and empty above '## Grading Policy'. | [struc] The numbered list items describing exam rules under 'Grading Policy' are incorrectly formatted with '#' (e.g., '# 1.'), which renders them as H1 headers instead of list items."
202641_ISEN_620_601_52745,16393,16320,5033,69.3,14,"College of Engineering; Industrial and Systems Engineering; Technology Support; University Policies; Academic Integrity Statement and Policy; University Attendance Policy; Makeup Work Policy; Notice of Nondiscrimination; Civil Rights, Free Speech, and Title IX Policies; Americans with Disabilities Act (ADA) Policy; Pregnancy Accommodations; Statement on Mental Health and Wellness; Statement on the Family Educational Rights and Privacy Act (FERPA); Free Speech and Civil Discourse",3,0,0,3,0,"[struc] The header 'Textbook and/or Resource Materials' is empty; its content ('This material Is: Recommended Operations Research Authors: Wayne L. Winston, Jeffrey B. Goldberg') is incorrectly placed under the 'Grading' sub-section. | [struc] The assessment items (Midterm I, Midterm II, Final Exam, Part I, Final Exam, Part II) are incorrectly formatted with varying heading levels (#, ##, ###, ####) instead of consistent sub-sections or list items under 'Assessments'. | [struc] The header '##### Course Schedule' appears three times consecutively, indicating duplicate headers."
